id,assessment_name,url,remote_testing,adaptive_irt_support,test_type
3827,.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,True,True,K
4094,.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,True,False,K
4099,.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,True,False,K
4018,.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,True,False,K
4016,.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,True,False,K
4165,.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,True,False,K
4168,ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,True,False,K
57,Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,True,True,"A, B, C, P"
4178,Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,True,False,K
4187,Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,True,False,S
4179,Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,True,False,K
4188,Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,True,False,S
144,Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,True,True,"A, K, P"
71,Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,True,True,"A, B, P, S"
521,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,True,False,"B, P"
520,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,True,False,"B, P"
41,Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,True,False,"A, B, K, P"
31,Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,True,False,"A, B, P"
42,Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,True,True,"A, B, P, S"
102,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,True,True,"A, B, P, S"
83,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,True,True,"A, B, K, P, S"
30,Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,True,False,"A, B, P"
45,Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,True,True,"A, B, P"
4302,Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,True,False,"A, B, C, D, E, P"
4311,AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,True,False,P
4019,Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,True,False,K
3778,Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,True,True,K
4069,Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,True,False,K
4004,Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,True,False,K
4223,Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,True,False,K
4159,Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,True,False,K
4028,Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,True,False,K
4160,Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,True,False,K
4153,Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,True,False,K
4021,AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,True,False,K
4030,Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,True,False,K
